horizon,secid,param_id,fold_id,train_rows,validation_rows,validation_first_date,validation_last_date,max_depth,min_samples_leaf,max_thresholds,normalize_etc,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,true_positive_share,predicted_positive_share,tp,tn,fp,fn
1,IMOEX,16,2,2007.0,193.0,2023-03-29,2023-12-27,3,10,8,False,0.6010362694300518,0.49572649572649574,0.6041666666666666,0.9914529914529915,0.7508090614886731,0.6062176165803109,0.9948186528497409,116.0,0.0,76.0,1.0
1,IMOEX,16,mean,,,,,3,10,8,False,0.5203985439932842,0.4759188305744673,,,,,,,,,
1,IMOEX,17,0,999.0,251.0,2019-03-04,2020-03-02,3,10,16,False,0.46613545816733065,0.43401968401968405,0.5248618784530387,0.6643356643356644,0.5864197530864198,0.5697211155378487,0.7211155378486056,95.0,22.0,86.0,48.0
1,IMOEX,17,1,1503.0,251.0,2021-03-05,2022-03-25,3,10,16,False,0.47808764940239046,0.4580287289983327,0.52,0.6594202898550725,0.5814696485623003,0.549800796812749,0.6972111553784861,91.0,29.0,84.0,47.0
1,IMOEX,17,2,2007.0,193.0,2023-03-29,2023-12-27,3,10,16,False,0.5647668393782384,0.5511133603238867,0.6486486486486487,0.6153846153846154,0.631578947368421,0.6062176165803109,0.5751295336787565,72.0,37.0,39.0,45.0
1,IMOEX,17,mean,,,,,3,10,16,False,0.5029966489826532,0.4810539244473011,,,,,,,,,
1,IMOEX,18,0,999.0,251.0,2019-03-04,2020-03-02,3,20,8,False,0.47808764940239046,0.4671717171717171,0.5416666666666666,0.5454545454545454,0.5435540069686411,0.5697211155378487,0.5737051792828686,78.0,42.0,66.0,65.0
1,IMOEX,18,1,1503.0,251.0,2021-03-05,2022-03-25,3,20,8,False,0.4820717131474104,0.46485827882518915,0.5238095238095238,0.6376811594202898,0.5751633986928104,0.549800796812749,0.6693227091633466,88.0,33.0,80.0,50.0
1,IMOEX,18,2,2007.0,193.0,2023-03-29,2023-12-27,3,20,8,False,0.6010362694300518,0.49572649572649574,0.6041666666666666,0.9914529914529915,0.7508090614886731,0.6062176165803109,0.9948186528497409,116.0,0.0,76.0,1.0
1,IMOEX,18,mean,,,,,3,20,8,False,0.5203985439932842,0.4759188305744673,,,,,,,,,
1,IMOEX,19,0,999.0,251.0,2019-03-04,2020-03-02,3,20,16,False,0.46613545816733065,0.43401968401968405,0.5248618784530387,0.6643356643356644,0.5864197530864198,0.5697211155378487,0.7211155378486056,95.0,22.0,86.0,48.0
1,IMOEX,19,1,1503.0,251.0,2021-03-05,2022-03-25,3,20,16,False,0.47808764940239046,0.4580287289983327,0.52,0.6594202898550725,0.5814696485623003,0.549800796812749,0.6972111553784861,91.0,29.0,84.0,47.0
1,IMOEX,19,2,2007.0,193.0,2023-03-29,2023-12-27,3,20,16,False,0.5647668393782384,0.5511133603238867,0.6486486486486487,0.6153846153846154,0.631578947368421,0.6062176165803109,0.5751295336787565,72.0,37.0,39.0,45.0
1,IMOEX,19,mean,,,,,3,20,16,False,0.5029966489826532,0.4810539244473011,,,,,,,,,
1,IMOEX,20,0,999.0,251.0,2019-03-04,2020-03-02,3,50,8,False,0.47808764940239046,0.4671717171717171,0.5416666666666666,0.5454545454545454,0.5435540069686411,0.5697211155378487,0.5737051792828686,78.0,42.0,66.0,65.0
1,IMOEX,20,1,1503.0,251.0,2021-03-05,2022-03-25,3,50,8,False,0.4820717131474104,0.46485827882518915,0.5238095238095238,0.6376811594202898,0.5751633986928104,0.549800796812749,0.6693227091633466,88.0,33.0,80.0,50.0
1,IMOEX,20,2,2007.0,193.0,2023-03-29,2023-12-27,3,50,8,False,0.6010362694300518,0.49572649572649574,0.6041666666666666,0.9914529914529915,0.7508090614886731,0.6062176165803109,0.9948186528497409,116.0,0.0,76.0,1.0
1,IMOEX,20,mean,,,,,3,50,8,False,0.5203985439932842,0.4759188305744673,,,,,,,,,
1,IMOEX,21,0,999.0,251.0,2019-03-04,2020-03-02,3,50,16,False,0.46613545816733065,0.43401968401968405,0.5248618784530387,0.6643356643356644,0.5864197530864198,0.5697211155378487,0.7211155378486056,95.0,22.0,86.0,48.0
1,IMOEX,21,1,1503.0,251.0,2021-03-05,2022-03-25,3,50,16,False,0.47808764940239046,0.4580287289983327,0.52,0.6594202898550725,0.5814696485623003,0.549800796812749,0.6972111553784861,91.0,29.0,84.0,47.0
1,IMOEX,21,2,2007.0,193.0,2023-03-29,2023-12-27,3,50,16,False,0.5647668393782384,0.5511133603238867,0.6486486486486487,0.6153846153846154,0.631578947368421,0.6062176165803109,0.5751295336787565,72.0,37.0,39.0,45.0
1,IMOEX,21,mean,,,,,3,50,16,False,0.5029966489826532,0.4810539244473011,,,,,,,,,
1,IMOEX,22,0,999.0,251.0,2019-03-04,2020-03-02,3,100,8,False,0.5418326693227091,0.5106513856513857,0.5769230769230769,0.7342657342657343,0.6461538461538461,0.5697211155378487,0.7250996015936255,105.0,31.0,77.0,38.0
1,IMOEX,22,1,1503.0,251.0,2021-03-05,2022-03-25,3,100,8,False,0.4820717131474104,0.46485827882518915,0.5238095238095238,0.6376811594202898,0.5751633986928104,0.549800796812749,0.6693227091633466,88.0,33.0,80.0,50.0
