secid,date,future_date,close,future_close,future_return,target_up,horizon,model,predicted_return,predicted_close,predicted_up,position,position_change,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,cost_bps
RTSI,2025-03-21,2025-03-28,1187.89,1139.02,-0.0411401729116333,0,5,LastHorizonReturn,0.0098872698212981,1199.634988948022,1,1,0,0.0,-0.0411401729116333,-0.0411401729116333,1.1386319917341023,1.0613899398028233,5.0
RTSI,2025-03-28,2025-04-04,1139.02,1039.88,-0.0870397359133289,0,5,LastHorizonReturn,-0.0411401729116333,1092.1605202501914,0,0,1,0.0005,-0.0005,-0.0870397359133289,1.1380626757382353,0.9690068397413214,5.0
RTSI,2025-04-04,2025-04-11,1039.88,1061.24,0.0205408316344193,1,5,LastHorizonReturn,-0.0870397359133289,949.3691194184476,0,0,0,0.0,0.0,0.0205408316344193,1.1380626757382353,0.9889110460890487,5.0
RTSI,2025-04-11,2025-04-18,1061.24,1115.38,0.0510157928461045,1,5,LastHorizonReturn,0.0205408316344193,1083.0387521637113,1,1,1,0.0005,0.0505157928461045,0.0510157928461045,1.1955528141117113,1.0393611271595522,5.0
RTSI,2025-04-18,2025-04-25,1115.38,1145.73,0.0272104574225824,1,5,LastHorizonReturn,0.0510157928461045,1172.2819950246885,1,1,0,0.0,0.0272104574225824,0.0272104574225824,1.2280843530565466,1.0676426188568144,5.0
RTSI,2025-04-25,2025-05-05,1145.73,1053.28,-0.080690913216901,0,5,LastHorizonReturn,0.0272104574225824,1176.9058373827754,1,1,0,0.0,-0.080690913216901,-0.080690913216901,1.1289891051010268,0.9814935609519743,5.0
RTSI,2025-05-05,2025-05-13,1053.28,1148.05,0.0899760747379614,1,5,LastHorizonReturn,-0.080690913216901,968.2898749269024,0,0,1,0.0005,-0.0005,0.0899760747379614,1.1284246105484763,1.069804498947017,5.0
RTSI,2025-05-13,2025-05-20,1148.05,1107.54,-0.0352859196028046,0,5,LastHorizonReturn,0.0899760747379614,1251.347032602917,1,1,1,0.0005,-0.0357859196028046,-0.0352859196028046,1.0880428981575625,1.0320554634064538,5.0
RTSI,2025-05-20,2025-05-27,1107.54,1082.85,-0.0222926485725121,0,5,LastHorizonReturn,-0.0352859196028046,1068.4594326031097,0,0,1,0.0005,-0.0005,-0.0222926485725121,1.0874988767084839,1.0090482136533927,5.0
RTSI,2025-05-27,2025-06-03,1082.85,1132.19,0.0455649443597914,1,5,LastHorizonReturn,-0.0222926485725121,1058.7104054932552,0,0,0,0.0,0.0,0.0455649443597914,1.0874988767084839,1.0550254393648564,5.0
RTSI,2025-06-03,2025-06-10,1132.19,1091.1,-0.0362924950759149,0,5,LastHorizonReturn,0.0455649443597914,1183.7781743547123,1,1,1,0.0005,-0.0367924950759149,-0.0362924950759149,1.047487079642124,1.0167359338017423,5.0
RTSI,2025-06-10,2025-06-18,1091.1,1117.27,0.0239849692970397,1,5,LastHorizonReturn,-0.0362924950759149,1051.5012586226692,0,0,1,0.0005,-0.0005,0.0239849692970397,1.046963336102303,1.0411223139571741,5.0
RTSI,2025-06-18,2025-06-25,1117.27,1124.3,0.0062921227635217,1,5,LastHorizonReturn,0.0239849692970397,1144.0676866465035,1,1,1,0.0005,0.005792122763521699,0.0062921227635217,1.0530274762739136,1.0476731833684345,5.0
RTSI,2025-06-25,2025-07-02,1124.3,1127.56,0.0028995819621098,1,5,LastHorizonReturn,0.0062921227635217,1131.3742336230275,1,1,0,0.0,0.0028995819621098,0.0028995819621098,1.0560808157497235,1.0507109976331157,5.0
RTSI,2025-07-02,2025-07-09,1127.56,1086.62,-0.0363084891269644,0,5,LastHorizonReturn,0.0028995819621098,1130.8294526371965,1,1,0,0.0,-0.0363084891269644,-0.0363084891269644,1.017736116933879,1.0125612687999719,5.0
RTSI,2025-07-09,2025-07-16,1086.62,1122.22,0.0327621431595224,1,5,LastHorizonReturn,-0.0363084891269644,1047.1664695448578,0,0,1,0.0005,-0.0005,0.0327621431595224,1.0172272488754122,1.0457349460461842,5.0
RTSI,2025-07-16,2025-07-23,1122.22,1140.92,0.0166633993334641,1,5,LastHorizonReturn,0.0327621431595224,1158.9863322964793,1,1,1,0.0005,0.0161633993334641,0.0166633993334641,1.0336690991118664,1.0631604450491103,5.0
RTSI,2025-07-23,2025-07-30,1140.92,1049.46,-0.0801633769238859,0,5,LastHorizonReturn,0.0166633993334641,1159.931605567536,1,1,0,0.0,-0.0801633769238859,-0.0801633769238859,0.9508066935051883,0.9779339135620723,5.0
RTSI,2025-07-30,2025-08-06,1049.46,1086.05,0.0348655499018542,1,5,LastHorizonReturn,-0.0801633769238859,965.3317424534588,0,0,1,0.0005,-0.0005,0.0348655499018542,0.9503312901584358,1.0120301172260862,5.0
RTSI,2025-08-06,2025-08-13,1086.05,1176.54,0.0833202891211271,1,5,LastHorizonReturn,0.0348655499018542,1123.9157304709088,1,1,1,0.0005,0.0828202891211271,0.0833202891211271,1.0290380023702113,1.0963527591926518,5.0
RTSI,2025-08-13,2025-08-20,1176.54,1156.5,-0.0170329950532918,0,5,LastHorizonReturn,0.0833202891211271,1274.569652962571,1,1,0,0.0,-0.0170329950532918,-0.0170329950532918,1.0115104031661901,1.0776785880686606,5.0
RTSI,2025-08-20,2025-08-27,1156.5,1140.17,-0.0141201902291395,0,5,LastHorizonReturn,-0.0170329950532918,1136.801341220868,0,0,1,0.0005,-0.0005,-0.0141201902291395,1.011004647964607,1.0624615613992607,5.0
RTSI,2025-08-27,2025-09-03,1140.17,1117.32,-0.0200408710981696,0,5,LastHorizonReturn,-0.0141201902291395,1124.070582706442,0,0,0,0.0,-0.0,-0.0200408710981696,1.011004647964607,1.041168906200498,5.0
RTSI,2025-09-03,2025-09-10,1117.32,1081.07,-0.0324437045788136,0,5,LastHorizonReturn,-0.0200408710981696,1094.927933904593,0,0,0,0.0,-0.0,-0.0324437045788136,1.011004647964607,1.0073895297910826,5.0
RTSI,2025-09-10,2025-09-17,1081.07,1068.07,-0.0120251232575133,0,5,LastHorizonReturn,-0.0324437045788136,1045.9960842909818,0,0,0,0.0,-0.0,-0.0120251232575133,1.011004647964607,0.9952755465270166,5.0
RTSI,2025-09-17,2025-09-24,1068.07,1021.52,-0.0435832857396987,0,5,LastHorizonReturn,-0.0120251232575133,1055.226326602348,0,0,0,0.0,-0.0,-0.0435832857396987,1.011004647964607,0.9518981679929948,5.0
